Name_of_Saint,Memorial,gender,birth_year,place_of_birth,country,death_year,death_place,death_country,vocation,veneration_year,Venerated_by,beatified_year,beatified_by,canonized_year,canonized_by
Saint Abbo of Auxerre,3 December,male,, ,,860,,,priest,,,,,,
Saint Goeric of Metz,19 September,male,,    ,,647,,,priest,,,,,,
Saint Abbán of Magh-Armuidhe,27 October,male,570,     ,Ireland,620,,,laity,,,,,,
Saint Cyrus the Physician,31 January,male,,            ,,,"beheaded in Canope, Egypt",Egypt,laity,,,,,,
Saint Abban,24 August,unknown,,Irish,,,,,laity,,,,,,
Saint Abban of New Ross,22 December,unknown,,Irish,,,"at Wexford, Ireland of natural causes",Ireland,laity,,,,,,
Saint Abbo of Fleury,13 November,male,945,             ,France,1004,,France,priest,,,,,,
Saint Abban of Kill-Abban,16 March,unknown,,         ,Irish,,,Ireland,laity,,,,,,
Saint Abban the Hermit,13 May,male,,  ,Ireland,520,,,laity,,,,,,
Blessed Aaron of Cracow,9 October,male,,France,,1059,,,laity,,,,,,
Saint Abachum of Persia,19 January,male,,         ,Persia,270,,Italy,laity,,,,,,
Saint Attracta of Killaraght,11 August,female,,          ,Ireland,,,Ireland,laity,,,,,,
Saint Aaron of Caerleon,1 July,unknown,,      ,,303,,Wales,laity,,,,,,
Saint Mazota of Abernethy,23 December,female,,  ,,,,,nun,,,,,,
Saint Anthony the Abbot,Cenobites,male,251,                                                                                                                                                 ,Egypt,356,,,nun,,,,,,
Blessed Ignatius de Azevedo,15 July,unknown,1526,   ,Portugal,1570,,Canary Islands,priest,,,1854,pope-pius-ix,,
Saint Lutgardis,16 June,female,1182,                    ,Belgium,1246,,Belgium,nun,,,,,,
Saint Azades the Eunuch,22 April,unknown,,   ,,342,,Persia,laity,,,,,,
Saint Azadanes the Deacon,22 April,unknown,, ,,360,,Persia,laity,,,,,,
Blessed Juana de Aza,2 August,female,, ,Spain,1190,,Spain,priest,,,1828,pope-leo-xii,,
Saint Severus of Avranches,1 February,male,,         ,France,690,,,priest,,,,,,
Saint Evan of Ayrshire,18 August,male,,,Scotland,,"at Irvine, Scotland",Scotland,laity,,,,,,
Saint Avitus,27 January,unknown,,,,,in Africa,Africa,laity,,,,,,
Saint Francisca Salesia,Mother,female,1844,          ,France,1914,,Italy,nun,1978,pope-saint-john-paul-ii,1992,pope-saint-john-paul-ii,2001,pope-saint-john-paul-ii
Blessed Mark of Aviano,13 August,male,1631,    ,Italy,1699,,Austria,nun,1991,pope-saint-john-paul-ii,2003,pope-saint-john-paul-ii,,
Saint Avertinus of Tours,5 May,male,,   ,,1189,,France,laity,,,,,,
Saint Everild of Everingham,9 July,female,,England,,700,,,nun,,,,,,
Saint Aventinus of Troyes,4 February,male,, ,France,538,,,laity,,,,,,
Saint Aventinus of Chartres,4 February,male,, ,,520,,France,priest,,,,,,
Saint John of Ávila,Andalusia,male,1499,                      ,Spain,1569,,Spain,nun,1759,pope-clement-xiii,1894,pope-leo-xiii,1970,pope-saint-paul-vi
Saint Marius Aventicus,31 December,male,530,   ,France,594,,Switzerland,priest,,,,,1605,
Saint Bertha of Avenay,1 May,female,,   ,,685,,,nun,,,,,,
Saint Aaron of Brettany,22 June,male,,      ,Wales,552,,France,laity,,,,,,
Saint Hugh of Lincoln,Burgundy,male,1135,                                 ,France,1200,,England,priest,,,,,1220,pope-honorius-iii
Saint Eulalia of Barcelona,12 February,female,290,                          ,Spain,304,,Spain,nun,,,,,633,
Saint Auxibius of Soli,19 February,male,, ,,,,,priest,,,,,,
Saint Peregrinus of Auxerre,16 May,male,, ,Italy,261,,France,priest,,,,,,
Saint Valerian of Auxerre,13 May,male,,,,,,,priest,,,,,,
Saint Jovinian of Auxerre,5 May,unknown,, ,,300,,martyred,laity,,,,,,
Saint Optatus of Auxerre,31 August,male,,,,530,,,priest,,,,,,
Saint Helladius of Auxerre,8 May,male,,,,387,,,priest,,,,,,
Saint Gregory of Auxerre,19 December,male,455,,,540,,,priest,,,,,,
Saint Germanus of Auxerre,31 July,male,378,                    ,France,448,,Italy,priest,,,,,,
Saint Curcodomus of Auxerre,4 May,male,,,,,,,priest,,,,,,
Saint Vigilius of Auxerre,11 March,male,,,,685,,France,priest,,,,,,
Saint Auxentius of Mopsuetia,18 December,male,, ,,321,,,priest,,,,,,
Saint Auxentius of Bithynia,14 February,male,,    ,Syria,473,,,laity,,,,,,
Saint Symphorian of Autun,22 August,male,,                ,,178,,sword,laity,,,,,,
Saint Racho of Autun,25 January,male,,,,660,,,priest,,,,,,
Blessed Leonianus of Autun,6 November,male,,Hungary,,570,,France,laity,,,1907,pope-saint-pius-x,,
Saint Eugenian of Autun,8 January,male,,   ,,,,France,priest,,,,,,
Saint Autonomus,12 September,male,, ,Italian,,,Asia Minor,priest,,,,,,
Saint Autbert of Landevennec,1 February,male,,,,1129,,,laity,,,,,,
Saint John of Autun,29 October,male,,,,,,,priest,,,,,,
Saint Cassian of Autun,5 August,male,,  ,Egyptian,350,,,priest,,,,,,
Saint Autbert of Avranches,10 September,male,,  ,,709,,,priest,,,,,,
Saint Austriclinian of Limoges,30 June,unknown,,,,250,,,priest,,,,,,
Saint Leopold III,15 November,male,1073,                         ,Austria,1136,,Austria,priest,,,,,1485,pope-innocent-viii
Blessed Charles of Austria,21 October,male,1887,                         ,Austria,1922,,pneumonia,nun,2003,pope-saint-john-paul-ii,2004,pope-saint-john-paul-ii,,
